Extent,Instrument,Max Spectral Range (eV),Min Spectral Range (eV),Observable,Source,Thumbnail,Time End,Time Start
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010018_i_000_m.jpg,2025-03-31 00:18:36,2025-03-31 00:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010018_i_000_s.jpg,2025-03-31 00:18:36,2025-03-31 00:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010048_i_000_m.jpg,2025-03-31 00:48:42,2025-03-31 00:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010048_i_000_s.jpg,2025-03-31 00:48:36,2025-03-31 00:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010118_i_000_m.jpg,2025-03-31 01:18:42,2025-03-31 01:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010118_i_000_s.jpg,2025-03-31 01:18:42,2025-03-31 01:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010148_i_000_m.jpg,2025-03-31 01:48:42,2025-03-31 01:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010148_i_000_s.jpg,2025-03-31 01:48:42,2025-03-31 01:48:42
FULLDISK,T1-HALPHA,1.889338324260306,1.889338324260306,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010155_i_05b_s.jpg,2025-03-31 01:55:30,2025-03-31 01:55:30
FULLDISK,T1-HALPHA,1.8890504605299645,1.8890504605299645,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010155_i_05r_s.jpg,2025-03-31 01:55:30,2025-03-31 01:55:30
FULLDISK,T1-HALPHA,1.8894247004880207,1.8894247004880207,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010155_i_08b_s.jpg,2025-03-31 01:55:30,2025-03-31 01:55:30
FULLDISK,T1-HALPHA,1.8889641185153043,1.8889641185153043,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010155_i_08r_s.jpg,2025-03-31 01:55:30,2025-03-31 01:55:30
FULLDISK,T1-HALPHA,1.8881873954130688,1.8881873954130688,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010155_i_35r_s.jpg,2025-03-31 01:55:30,2025-03-31 01:55:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010218_i_000_m.jpg,2025-03-31 02:18:42,2025-03-31 02:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010218_i_000_s.jpg,2025-03-31 02:18:42,2025-03-31 02:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010248_i_000_m.jpg,2025-03-31 02:48:42,2025-03-31 02:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010248_i_000_s.jpg,2025-03-31 02:48:42,2025-03-31 02:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010318_i_000_m.jpg,2025-03-31 03:18:42,2025-03-31 03:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010318_i_000_s.jpg,2025-03-31 03:18:42,2025-03-31 03:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010348_i_000_m.jpg,2025-03-31 03:48:42,2025-03-31 03:48:42
